"objectid","distance_to_city_hall","distance_to_nearest_transit","distance_to_nearest_hospital","distance_to_nearest_school","distance_to_nearest_park","distance_to_nearest_water","distance_to_nearest_bikelane","distance_to_I676","nhoods_name","landuse","LPSS_PER1000","HPSS_PER1000","crime_nn1","crime_nn2","crime_nn3","crime_nn4","crime_nn5"
578612516,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578619461,2257.15130356046,1323.15134565046,2215.96916106411,762.630198367228,210.559792388632,5178.09953594486,534.779538199799,250.969337443416,"CHINATOWN","Residential High",44.72605293,6.61572866,3.07228498139746,61.003450602149,84.3821323518839,98.2337508985723,109.756371050285
578621141,1796.11816674134,878.429050451318,1565.08541675524,966.02055590159,1090.39193033488,5001.12613956432,121.499159322597,1131.46016622172,"CHINATOWN","Commercial Business/Professional",44.72605293,6.61572866,57.8969189365692,79.3837998264557,88.8260666912368,96.018977047576,102.02007900631
578619220,2522.28579915103,1154.24831999129,1939.40075612869,799.827281141513,247.817704940775,5583.89951710854,334.421315135902,282.516772168195,"CALLOWHILL","Residential High",32.6549929,4.02271652,88.3246324131586,91.9736114616005,94.4467031655843,97.0831925228808,102.054153037632
578619237,2651.71275816572,1093.23476366621,1804.26224475053,684.719882617722,349.522967580467,5344.61666350653,65.5934172591109,516.761577970152,"CALLOWHILL","Residential High",32.6549929,4.02271652,3.16368314122539,53.0064143639767,71.1990338843676,82.8310010245221,91.2676665736448
578619240,4224.95169295356,1340.32609437563,3265.84358003969,745.024799562086,513.285354584726,5542.27556119019,205.96514628903,1976.21832172634,"WEST_POPLAR","Residential High",32.6549929,4.02271652,18.3011377191936,26.9206287885363,62.4961381389665,85.9427708908149,107.628032487289
578620447,2257.15130356046,1323.15134565046,2215.96916106411,762.630198367228,210.559792388632,5178.09953594486,534.779538199799,250.969337443416,"CHINATOWN","Residential High",44.72605293,6.61572866,3.07228498139746,61.003450602149,84.3821323518839,98.2337508985723,109.756371050285
578621177,2427.88864561162,1097.32136227812,2450.79386500389,579.290854253673,184.707879736862,4946.47715376092,301.148291345803,225.533444274318,"CHINATOWN","Residential Medium",44.72605293,6.61572866,107.962992477516,116.500597889967,133.7964088399,143.865134568663,151.176197572644
578621403,3333.81082856567,882.130571773986,3104.40101382795,365.468494309413,239.239164465962,4282.96489507126,306.142659155494,297.879616078105,"CALLOWHILL","Residential Medium",50.10660981,5.59701493,74.8125873850764,76.3058225441728,82.3722892564258,90.644571405289,104.15075181764
578621404,3341.67863198925,977.530485833247,3165.03585639435,342.469302410091,329.056515968778,4353.4035454887,231.555726918,383.29467811558,"CALLOWHILL","Transportation",50.10660981,5.59701493,62.7344674922425,65.308321291458,78.7609358814561,89.4265607953329,98.7663211881176
578620702,2231.98039404757,953.37270966417,2000.25442366734,939.039374340226,647.203299670445,4769.87679597315,148.681915620191,687.719473728283,"CHINATOWN","Residential High",44.72605293,6.61572866,3.09051622351402,28.5823242855388,40.3234984656883,50.2236089835806,56.7322432548001
578622144,1796.11816674134,878.429050451318,1565.08541675524,966.02055590159,1090.39193033488,5001.12613956432,121.499159322597,1131.46016622172,"CHINATOWN","Commercial Business/Professional",44.72605293,6.61572866,57.8969189365692,79.3837998264557,88.8260666912368,96.018977047576,102.02007900631
578621217,4210.61771221909,1777.77305145184,3447.83057555104,1110.67162234831,519.830369956543,5038.27765826913,68.2275245855389,1779.35778561287,"WEST_POPLAR","Commercial Mixed Residential",32.6549929,4.02271652,17.4574254135874,27.797653349267,38.4740371192049,55.6287909494394,71.6661394841114
578620037,2257.15130356046,1323.15134565046,2215.96916106411,762.630198367228,210.559792388632,5178.09953594486,534.779538199799,250.969337443416,"CHINATOWN","Residential High",44.72605293,6.61572866,3.07228498139746,61.003450602149,84.3821323518839,98.2337508985723,109.756371050285
578620511,2566.68987344153,636.766515887632,1834.83440526545,1230.73378577327,919.590408441364,4230.50561114208,292.176017756791,961.877791297997,"CHINATOWN","Commercial Mixed Residential",44.72605293,6.61572866,60.0001642528905,63.6140561403997,67.4825810461443,72.7327048476097,79.9453803195482
578618832,3841.95952131443,1182.4829454036,3554.5803216056,848.774832168977,478.276338468001,3976.88202438644,72.9680938341746,517.687835248948,"CALLOWHILL","Industrial",50.10660981,5.59701493,145.67514171909,145.773572514183,151.271523883582,162.455977338931,189.657779190506
578622478,1394.70189856116,477.261369107634,485.494251536849,905.39796113877,611.446839142461,4170.54684755509,160.560488683311,660.194298460135,"LOGAN_SQUARE","Transportation",131.86813187,22.52747253,97.8067651353038,131.699826887567,146.521572831092,153.982941566698,158.504865535615
